Test,Value,Num DF,Den DF,F Value,Pr > F
Hotelling-Lawley trace,0.2998582759189232,40,1039.718978102193,4.281215764380752,1.6462675468498922e-16
Roy's greatest root,0.22251857842933478,20,573,6.3751572720004415,1.0683421082693156e-15
Wilks' lambda,0.7188960879395995,40,1144.0,5.131291752905723,1.0088755377450565e-21
Pillai's trace,0.2955543531818391,40.0,1146.0,4.967968462043342,9.60435869127514e-21
Hotelling-Lawley trace,0.37092074280610887,40,1039.718978102193,5.295807583001974,1.7169455242279665e-22
Roy's greatest root,0.30502070495785605,20,573,8.738843197042575,7.282005974986846e-23
Wilks' lambda,0.7080323486676984,40,1144.0,5.389085755379133,2.8158857608695706e-23
Pillai's trace,0.31315935421331154,40.0,1146.0,5.3188281421966295,7.407513214420705e-23
Hotelling-Lawley trace,0.3824344310832829,40,1039.718978102193,5.460193853840573,1.811039446591864e-23
Roy's greatest root,0.2726641756826978,20,573,7.8118286333092914,4.484421865694063e-20
Wilks' lambda,0.7478304451657591,40,1144.0,4.472304827047071,8.86959512618209e-18
Pillai's trace,0.2641374631696766,40.0,1146.0,4.359526263888109,4.114566985170832e-17
Hotelling-Lawley trace,0.3211980042422095,40,1039.718978102193,4.585892969054463,2.707145743768974e-18
Roy's greatest root,0.25953602447676277,20,573,7.435707101259253,6.198704409116157e-19
Wilks' lambda,0.7399249249117038,40,1144.0,4.648511301161263,7.918396017881769e-19
Pillai's trace,0.27349374841471874,40.0,1146.0,4.5384115376860255,3.5649769094550325e-18
Hotelling-Lawley trace,0.33335328147150534,40,1039.718978102193,4.75943950311294,2.574109308471294e-19
Roy's greatest root,0.2648902872852001,20,573,7.5891067307209825,2.1211183862166714e-19
Wilks' lambda,0.7317883938713747,40,1144.0,4.832840350349642,6.257464304419054e-20
Pillai's trace,0.28377464174635303,40.0,1146.0,4.737223725854907,2.3208866605689787e-19
Hotelling-Lawley trace,0.34524812449444936,40,1039.718978102193,4.929267697144281,2.5557375094037058e-20
Roy's greatest root,0.2649925707269989,20,573,7.592037151328518,2.0781411432086998e-19
Wilks' lambda,0.7686803605030019,40,1144.0,4.020689809290929,4.086912882801982e-15
Pillai's trace,0.24378803828782603,40.0,1146.0,3.9770411825101277,7.318125183005308e-15
Hotelling-Lawley trace,0.2847103320851858,40,1039.718978102193,4.0649415403653855,2.971352041800768e-15
Roy's greatest root,0.20595130253726607,20,573,5.900504817692672,3.0398341962890005e-14
Wilks' lambda,0.7279711558092873,40,1144.0,4.920381076554227,1.8686202817905732e-20
Pillai's trace,0.28837543581664127,40.0,1146.0,4.826967554119365,6.736040869678438e-20
Hotelling-Lawley trace,0.35122580135821657,40,1039.718978102193,5.01461376386566,7.9879994170673e-21
Roy's greatest root,0.26718195558287194,20,573,7.654763027449281,1.341074722680615e-19
Wilks' lambda,0.7238994897373102,40,1144.0,5.014518743758952,5.084031960887604e-21
Pillai's trace,0.294846218189461,40.0,1146.0,4.954007222831616,1.1649875558941966e-20
Hotelling-Lawley trace,0.35551178856239796,40,1039.718978102193,5.075806792232958,3.46698418323089e-21
Roy's greatest root,0.25326550428671124,20,573,7.256056697814277,2.180879874462459e-18
Wilks' lambda,0.7658865069558056,40,1144.0,4.080133647255623,1.8337242259117435e-15
Pillai's trace,0.24325963746589094,40.0,1146.0,3.967227464020003,8.34987061312099e-15
Hotelling-Lawley trace,0.29373457631037686,40,1039.718978102193,4.193784863165508,5.3156758546095945e-16
Roy's greatest root,0.2449901430761178,20,573,7.018967599130774,1.1507738474556222e-17
Wilks' lambda,0.7526808068052682,40,1144.0,4.365571732072122,3.810913829090479e-17
Pillai's trace,0.2617576099368859,40.0,1146.0,4.314332435776972,7.617284635365563e-17
Hotelling-Lawley trace,0.3094017734304045,40,1039.718978102193,4.41747270732579,2.6330003039102443e-17
Roy's greatest root,0.22361901702981565,20,573,6.406684837904218,8.554412413360193e-16
Wilks' lambda,0.7350490727274069,40,1144.0,4.758603864059868,1.7411035546637402e-19
Pillai's trace,0.27997534041486205,40.0,1146.0,4.66347587413107,6.403002696524418e-19
Hotelling-Lawley trace,0.34001337244460333,40,1039.718978102193,4.854528712769927,7.068229664033014e-20
Roy's greatest root,0.26199722717913404,20,573,7.50622055868219,3.785513621942142e-19
Wilks' lambda,0.7555677372267339,40,1144.0,4.302532782142055,8.994968585487795e-17
Pillai's trace,0.2558824548335486,40.0,1146.0,4.203290283557995,3.445785308334971e-16
Hotelling-Lawley trace,0.3083536514781991,40,1039.718978102193,4.40250818379872,3.221274087341183e-17
Roy's greatest root,0.24699962447172014,20,573,7.076539241114782,7.68155858989627e-18
Wilks' lambda,0.7381120106650416,40,1144.0,4.689317934957332,4.518561218277699e-19
Pillai's trace,0.27806114085778816,40.0,1146.0,4.62644282825706,1.0651780454869931e-18
Hotelling-Lawley trace,0.3328964090297604,40,1039.718978102193,4.752916523235479,2.812537792407523e-19
Roy's greatest root,0.24256318967311577,20,573,6.949435384134766,1.8754513210168777e-17
Wilks' lambda,0.7426802548963808,40,1144.0,4.58677831045813,1.8483041611430958e-18
Pillai's trace,0.2692616449269808,40.0,1146.0,4.45725727666822,1.0830350755887285e-17
Hotelling-Lawley trace,0.33039500331740046,40,1039.718978102193,4.717202793020598,4.567195399026053e-19
Roy's greatest root,0.2710783373207092,20,573,7.766394364238318,6.155170147452875e-20
Wilks' lambda,0.7451679631369111,40,1144.0,4.531335748458963,3.9529270148250136e-18
Pillai's trace,0.2674936480336747,40.0,1146.0,4.4234718143842855,1.7188067341772355e-17
