Dataset,model,sampling,representation,accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,score_time
Validation,LogisticRegression,Original,fft_FAUJ880112_LogisticRegression_42_metrics,0.5102822114272495,0.5102822114272495,0.27845498071043856,0.3512932628778159,0.5548816200342164,-0.03308344640815948,0.02196745872497554,0.00885992050170893
Validation,LogisticRegression,Original,fft_GEIM800101_LogisticRegression_42_metrics,0.5155563266250289,0.5155563266250289,0.46496662891556345,0.46233286396019385,0.608572871694901,0.10493894344605101,0.026934576034545847,0.00974991321563716
Validation,LogisticRegression,Original,fft_GEIM800105_LogisticRegression_42_metrics,0.5209750173490632,0.5209750173490632,0.4857339301404965,0.4716870309838431,0.6132239445155415,0.12022969543876867,0.02631380558013911,0.009608888626098589
Validation,LogisticRegression,Original,fft_JOND750101_LogisticRegression_42_metrics,0.5065174647235715,0.5065174647235715,0.46796218858405203,0.44420947017308043,0.5662573753488298,0.07874309516294128,0.02562961578369134,0.00904352664947505
Validation,LogisticRegression,Original,fft_KLEP840101_LogisticRegression_42_metrics,0.5035045107564191,0.5035045107564191,0.39725764551978016,0.40827268053693616,0.5741552808168237,0.04036187057055781,0.025067377090454063,0.00902097225189204
Validation,LogisticRegression,Original,fft_ROBB760113_LogisticRegression_42_metrics,0.4966227157066852,0.4966227157066852,0.4444434617274867,0.42537779758328115,0.5349060547335756,0.0521028969189678,0.02457165718078608,0.00873737335205072
Validation,LogisticRegression,Original,fft_ZIMJ680104_LogisticRegression_42_metrics,0.5330730973860744,0.5330730973860744,0.5062342059043932,0.48836005025017154,0.6337761029434719,0.14909896789338903,0.02413861751556392,0.00865726470947261
Validation,LogisticRegression,Original,frequency_LogisticRegression_42_metrics,0.5133472125838539,0.5133472125838539,0.4266667668089119,0.3803786523675746,0.6118760677732465,0.02677807847874019,0.008894371986389111,0.00967981815338128
Validation,LogisticRegression,Original,one_hot_LogisticRegression_42_metrics,0.503440897524867,0.503440897524867,0.49176353159904507,0.49217347553227275,0.6903376402977935,0.15640788430815647,0.04282042980194089,0.01666791439056392
Validation,LogisticRegression,Original,pc_FASG760101_LogisticRegression_42_metrics,0.5186618089289845,0.5186618089289845,0.48377655991644086,0.4726250783820656,0.6255660575185131,0.12554760064040177,0.02588403224945064,0.009384489059448189
Validation,LogisticRegression,Original,pc_FAUJ880111_LogisticRegression_42_metrics,0.5118725422160536,0.5118725422160536,0.41526351740292816,0.44404351363178113,0.6143608313238642,0.08833468086372769,0.012416291236877399,0.00992274284362787
Validation,LogisticRegression,Original,pc_FAUJ880112_LogisticRegression_42_metrics,0.5117973629424011,0.5117973629424011,0.2654843977559752,0.34960075167202403,0.553529193920882,-0.02623161608274886,0.01274909973144526,0.01179277896881099
Validation,LogisticRegression,Original,pc_GEIM800101_LogisticRegression_42_metrics,0.5362074947952811,0.5362074947952811,0.5142061035444427,0.49112619013115644,0.635139109368819,0.1521941740139876,0.02582824230194088,0.00954744815826411
Validation,LogisticRegression,Original,pc_GEIM800105_LogisticRegression_42_metrics,0.5308928984501503,0.5308928984501503,0.5045019521888406,0.4942878785692633,0.6468062310513972,0.16035095385754708,0.02592086791992182,0.00977568626403803
Validation,LogisticRegression,Original,pc_JOND750101_LogisticRegression_42_metrics,0.5186444598658339,0.5186444598658339,0.494339277085893,0.4710927813183214,0.5925121909238951,0.11398851562885122,0.02552633285522456,0.00925114154815668
Validation,LogisticRegression,Original,pc_KLEP840101_LogisticRegression_42_metrics,0.4973860744853111,0.4973860744853111,0.39551495712162466,0.423611121781292,0.5984333332985865,0.048153789592940935,0.01156580448150628,0.00956470966339105
Validation,LogisticRegression,Original,pc_ROBB760113_LogisticRegression_42_metrics,0.530146888734675,0.530146888734675,0.4905787340347404,0.48913665513997906,0.6317782619342497,0.1614306775639192,0.02427468299865719,0.0092213630676269
Validation,LogisticRegression,Over,embedding_protT5_LogisticRegression_42_metrics,0.5712957596831836,0.5712957596831836,0.5566159648326631,0.5593131670133759,0.7507081797535455,0.3598446574810527,0.10854489803314205,0.015325331687927199
Validation,LogisticRegression,Over,fft_FASG760101_LogisticRegression_42_metrics,0.47936829904375544,0.47936829904375544,0.47444350591375456,0.4728563266342071,0.6487883598794443,0.22093706078930672,0.032049226760864205,0.00916881561279291
Validation,LogisticRegression,Over,fft_FAUJ880111_LogisticRegression_42_metrics,0.46704578383077366,0.46704578383077366,0.46350158197463526,0.4491743030845371,0.6202388416752582,0.2077129596334084,0.030885291099548313,0.00910363197326656
Validation,LogisticRegression,Over,fft_FAUJ880112_LogisticRegression_42_metrics,0.3987346662803052,0.3987346662803052,0.4224443100173542,0.3803050578603102,0.5623996264034179,0.10712448842690969,0.03159689903259273,0.00944848060607904
Validation,LogisticRegression,Over,fft_GEIM800101_LogisticRegression_42_metrics,0.4779025403264754,0.4779025403264754,0.47644311883487933,0.4738999825886361,0.6525774270866608,0.2182136026451465,0.03231296539306635,0.00925121307373042
Validation,LogisticRegression,Over,fft_GEIM800105_LogisticRegression_42_metrics,0.4955930648121318,0.4955930648121318,0.49195930122338727,0.48955049409013585,0.674918366006696,0.24551768285792835,0.03227155208587642,0.00957908630371088
Validation,LogisticRegression,Over,fft_JOND750101_LogisticRegression_42_metrics,0.44693808557905923,0.44693808557905923,0.44248845592346575,0.44213738376891615,0.6303972842917286,0.17147007090784508,0.03310778141021722,0.00962276458740228
Validation,LogisticRegression,Over,fft_KLEP840101_LogisticRegression_42_metrics,0.4119989375060369,0.4119989375060369,0.3850885413180578,0.37388884748761986,0.5854823734317647,0.12598352472915925,0.03089895248413079,0.009242033958435
Validation,LogisticRegression,Over,fft_ROBB760113_LogisticRegression_42_metrics,0.4365860137158311,0.4365860137158311,0.43480491986330155,0.4337948660690521,0.610144802149065,0.15549899540737147,0.030785703659057573,0.00919499397277827
Validation,LogisticRegression,Over,fft_ZIMJ680104_LogisticRegression_42_metrics,0.49702743166232005,0.49702743166232005,0.49188184684830266,0.48854370426516514,0.6838157643475561,0.2486896454094703,0.030813980102539013,0.00877890586853022
Validation,LogisticRegression,Over,frequency_LogisticRegression_42_metrics,0.488186998937506,0.488186998937506,0.4813900941488538,0.47104532940672816,0.685671442543785,0.2396803868495617,0.016385650634765568,0.009466385841369569
Validation,LogisticRegression,Over,one_hot_LogisticRegression_42_metrics,0.6273350719598184,0.6273350719598184,0.6172374943899578,0.6160089168513432,0.8033068087411207,0.44565539701742035,0.0606225490570068,0.01712181568145747
Validation,LogisticRegression,Over,pc_FASG760101_LogisticRegression_42_metrics,0.5211919250458804,0.5211919250458804,0.5124005862957681,0.5081401301424422,0.6901489154094962,0.2864896745797635,0.03239941596984859,0.009342813491821231
Validation,LogisticRegression,Over,pc_FAUJ880111_LogisticRegression_42_metrics,0.467533565150198,0.467533565150198,0.46570950840795194,0.4509689737603578,0.6233739136242408,0.208231852503741,0.01923902034759517,0.009399628639221131
Validation,LogisticRegression,Over,pc_FAUJ880112_LogisticRegression_42_metrics,0.39529604945426444,0.39529604945426444,0.41999736661889964,0.3756689819428656,0.5612389656867527,0.10235390190887923,0.0163182973861694,0.009753251075744571
Validation,LogisticRegression,Over,pc_GEIM800101_LogisticRegression_42_metrics,0.48525548150294606,0.48525548150294606,0.4809330725578208,0.48041303462819673,0.6908159868668957,0.22917134482858198,0.03290905952453608,0.009659504890441841
